Art.;Conteudo
129;Art. 129 . São funções institucionais do Ministério Público l- promover, privativamente, a ação penal pública, na forma da lei, Il - zelar pelo efetivo respeito dos poderes públicos e dos serviços de relevância pública aos direitos assegurados nesta Constituição, promovendo as medidas necessárias a sua garantia, Ill - promover o inquérito civil e a ação civil pública, para a proteção do patrimônio público e social, do meio ambiente e de outros interesses difusos e coletivos, IV - promover a ação de inconstitucionalidade ou representação para fins de intervenção da União e dos Estados, nos casos previstos nesta Constituição, V - defender judicialmente os direitos e interesses das populações indígenas, VI - expedir notificações nos procedimentos administrativos de sua competência, requisi- tando informações e documentos para instruí-los, na forma da lei complementar respectiva, VII - exercer o controle externo da atividade policial, na forma da lei complementar men- cionada no artigo anterior, VIII - requisitar diligências investigatórias e a instauração de inquérito policial, indicados os fundamentos jurídicos de suas manifestações processuais, IX - exercer outras funções que lhe forem conferidas, desde que compatíveis com sua finali- dade, sendo-lhe vedada a representação judicial e a consultoria jurídica de entidades públicas. § 1º A legitimação do Ministério Público para as ações civis previstas neste artigo não im- pede a de terceiros, nas mesmas hipóteses, segundo o disposto nesta Constituição e na lei. 8 2º As funções do Ministério Público só podem ser exercidas por integrantes da carreira, que deverão residir na comarca da respectiva lotação, salvo autorização do chefe da instituição. (Parágrafo com redação dada pela EC nº 45, de 2004) § 3º O ingresso na carreira do Ministério Público far-se-á mediante concurso público de pro- vas e títulos, assegurada a participação da Ordem dos Advogados do Brasil em sua realização, exigindo-se do bacharel em direito, no mínimo, três anos de atividade jurídica e observando-se, nas nomeações, a ordem de classificação. (Parágrafo com redação dada pela EC nº 45, de 2004) § 4º Aplica-se ao Ministério Público, no que couber, o disposto no art. 93. (Parágrafo com redação dada pela EC nº 45, de 2004) § 5º A distribuição de processos no Ministério Público será imediata. (Parágrafo acrescido pela EC nº 45, de 2004)
130;Art. 130 . Aos membros do Ministério Público junto aos Tribunais de Contas aplicam-se as disposições desta Seção pertinentes a direitos, vedações e forma de investidura.
130-A;Art. 130 -A. O Conselho Nacional do Ministério Público compõe-se de quatorze membros no- meados pelo Presidente da República, depois de aprovada a escolha pela maioria absoluta do 75 76 CONSTITUIÇÃO DA REPÚBLICA FEDERATIVA DO BRASIL Senado Federal, para um mandato de dois anos, admitida uma recondução, sendo (Caput do artigo acrescido pela EC nº 45, de 2004) l- o Procurador-Geral da República, que o preside, (Inciso acrescido pela EC nº 45, de 2004) Il - quatro membros do Ministério Público da União, assegurada a representação de cada uma de suas carreiras, (Inciso acrescido pela EC nº 45, de 2004) Ill - três membros do Ministério Público dos Estados, (Inciso acrescido pela EC nº 45, de 2004) IV - dois juízes, indicados um pelo Supremo Tribunal Federal e outro pelo Superior Tribunal de Justiça, (Inciso acrescido pela EC nº 45, de 2004) V - dois advogados, indicados pelo Conselho Federal da Ordem dos Advogados do Brasil, (Inciso acrescido pela EC nº 45, de 2004) VI - dois cidadãos de notável saber jurídico e reputação ilibada, indicados um pela Câmara dos Deputados e outro pelo Senado Federal. (Inciso acrescido pela EC nº 45, de 2004) 8 1º Os membros do Conselho oriundos do Ministério Público serão indicados pelos respec- tivos Ministérios Públicos, na forma da lei. (Parágrafo acrescido pela EC nº 45, de 2004) § 2º Compete ao Conselho Nacional do Ministério Público o controle da atuação adminis- trativa e financeira do Ministério Público e do cumprimento dos deveres funcionais de seus membros, cabendo-lhe (Caput do parágrafo acrescido pela EC nº 45, de 2004) l- zelar pela autonomia funcional e administrativa do Ministério Público, podendo expedir atos regulamentares, no âmbito de sua competência, ou recomendar providências, (Inciso acres- cido pela EC nº 45, de 2004) Il - zelar pela observância do art. 37 e apreciar, de ofício ou mediante provocação, a lega- lidade dos atos administrativos praticados por membros ou órgãos do Ministério Público da União e dos Estados, podendo desconstituí-los, revê-los ou fixar prazo para que se adotem as providências necessárias ao exato cumprimento da lei, sem prejuízo da competência dos Tribunais de Contas, (Inciso acrescido pela EC nº 45, de 2004) Ill - receber e conhecer das reclamações contra membros ou órgãos do Ministério Público da União ou dos Estados, inclusive contra seus serviços auxiliares, sem prejuízo da competência disciplinar e correicional da instituição, podendo avocar processos disciplinares em curso, de- terminar a remoção ou a disponibilidade e aplicar outras sanções administrativas, assegurada ampla defesa, (Inciso acrescido pela EC nº 45, de 2004, e com redação dada pela EC nº 103, de 2019) IV — rever, de ofício ou mediante provocação, os processos disciplinares de membros do Ministério Público da União ou dos Estados julgados há menos de um ano, (Inciso acrescido pela EC nº 45, de 2004) V-elaborar relatório anual, propondo as providências que julgar necessárias sobre a situa- ção do Ministério Público no País e as atividades do Conselho, o qual deve integrar a mensagem prevista no art. 84, XI. (Inciso acrescido pela EC nº 45, de 2004) § 3º O Conselho escolherá, em votação secreta, um Corregedor nacional, dentre os mem- bros do Ministério Público que o integram, vedada a recondução, competindo-lhe, além das atribuições que lhe forem conferidas pela lei, as seguintes - receber reclamações e denúncias, de qualquer interessado, relativas aos membros do Ministério Público e dos seus serviços auxiliares, Il - exercer funções executivas do Conselho, de inspeção e correição geral, Ill — requisitar e designar membros do Ministério Público, delegando-lhes atribuições, e requisitar servidores de órgãos do Ministério Público. (Parágrafo acrescido pela EC nº 45, de 2004) § 4º O Presidente do Conselho Federal da Ordem dos Advogados do Brasil oficiará junto ao Conselho. (Parágrafo acrescido pela EC nº 45, de 2004) § 5º Leis da União e dos Estados criarão ouvidorias do Ministério Público, competentes para receber reclamações e denúncias de qualquer interessado contra membros ou órgãos do Minis- ART. 131 tério Público, inclusive contra seus serviços auxiliares, representando diretamente ao Conselho Nacional do Ministério Público. (Parágrafo acrescido pela EC nº 45, de 2004) Seção Il - Da Advocacia Pública (Denominação da seção com redação dada pela EC nº 19, de 1998)
131;Art. 131 . A Advocacia-Geral da União é a instituição que, diretamente ou através de órgão vinculado, representa a União, judicial e extrajudicialmente, cabendo-lhe, nos termos da lei complementar que dispuser sobre sua organização e funcionamento, as atividades de consul- toria e assessoramento jurídico do Poder Executivo. § 1º A Advocacia-Geral da União tem por chefe o Advogado-Geral da União, de livre nomea- ção pelo Presidente da República dentre cidadãos maiores de trinta e cinco anos, de notável saber jurídico e reputação ilibada. § 2º O ingresso nas classes iniciais das carreiras da instituição de que trata este artigo far- -se-á mediante concurso público de provas e títulos. § 3º Na execução da dívida ativa de natureza tributária, a representação da União cabe à Procuradoria-Geral da Fazenda Nacional, observado o disposto em lei.
132;Art. 132 . Os Procuradores dos Estados e do Distrito Federal, organizados em carreira, na qualo ingresso dependerá de concurso público de provas e títulos, com a participação da Ordem dos Advogados do Brasil em todas as suas fases, exercerão a representação judicial e a consultoria jurídica das respectivas unidades federadas. (Caput do artigo com redação dada pela EC nº 19, de 1998) Parágrafo único. Aos procuradores referidos neste artigo é assegurada estabilidade após três anos de efetivo exercício, mediante avaliação de desempenho perante os órgãos próprios, após relatório circunstanciado das corregedorias. (Parágrafo único acrescido pela EC nº 19, de 1998) Seção III - Da Advocacia (Denominação da seção com redação dada pela EC nº 80, de 2014)
133;Art. 133 . O advogado é indispensável à administração da justiça, sendo inviolável por seus atos e manifestações no exercício da profissão, nos limites da lei. Seção IV - Da Defensoria Pública (Seção acrescida pela EC nº 80, de 2014)
134;Art. 134 . A Defensoria Pública é instituição permanente, essencial à função jurisdicional do Estado, incumbindo-lhe, como expressão e instrumento do regime democrático, fundamental- mente, a orientação jurídica, a promoção dos direitos humanos e a defesa, em todos os graus, judicial e extrajudicial, dos direitos individuais e coletivos, de forma integral e gratuita, aos necessitados, na forma do inciso LXXIV do art. 5º desta Constituição Federal. (Caput do artigo com redação dada pela EC nº 80, de 2014) S 1º Lei complementar organizará a Defensoria Pública da União e do Distrito Federal e dos Territórios e prescreverá normas gerais para sua organização nos Estados, em cargos de carreira, providos, na classe inicial, mediante concurso público de provas e títulos, assegurada a seus integrantes a garantia da inamovibilidade e vedado o exercício da advocacia fora das atribuições institucionais. (Parágrafo único transformado em 5 1º pela EC nº 45, de 2004) § 2º Às Defensorias Públicas Estaduais são asseguradas autonomia funcional e adminis- trativa e a iniciativa de sua proposta orçamentária dentro dos limites estabelecidos na lei de diretrizes orçamentárias e subordinação ao disposto no art. 99, 8 2º. (Parágrafo acrescido pela EC nº 45, de 2004) 8 3º Aplica-se o disposto no 8 2º às Defensorias Públicas da União e do Distrito Federal. (Parágrafo acrescido pela EC nº 74, de 2013) 77 78 CONSTITUIÇÃO DA REPUBLICA FEDERATIVA DO BRASIL 8 4º São princípios institucionais da Defensoria Pública a unidade, a indivisibilidade e a in- dependência funcional, aplicando-se também, no que couber, o disposto no art. 93 e no inciso II do art. 96 desta Constituição Federal. (Parágrafo acrescido pela EC nº 80, de 2014)
135;Art. 135 . Os servidores integrantes das carreiras disciplinadas nas Seções Ile Ill deste Capítulo serão remunerados na forma do art. 39, § 4º. (Artigo com redação dada pela EC nº 19, de 1998) TÍTULO V - DA DEFESA DO ESTADO E DAS INSTITUIÇÕES DEMOCRÁTICAS CAPÍTULO - DO ESTADO DE DEFESA E DO ESTADO DE SÍTIO Seção - Do Estado de Defesa
136;Art. 136 . O Presidente da República pode, ouvidos o Conselho da República e o Conselho de Defesa Nacional, decretar estado de defesa para preservar ou prontamente restabelecer, em lo- cais restritos e determinados, a ordem pública ou a paz socialameaçadas por grave e iminente instabilidade institucional ou atingidas por calamidades de grandes proporções na natureza. § 1º O decreto que instituir o estado de defesa determinará o tempo de sua duração, especi- ficará as áreas a serem abrangidas e indicará, nos termos e limites da lei, as medidas coercitivas a vigorarem, dentre as seguintes - restrições aos direitos de a) reunião, ainda que exercida no seio das associações, b) sigilo de correspondência, c) sigilo de comunicação telegráfica e telefônica, Il - ocupação e uso temporário de bens e serviços públicos, na hipótese de calamidade pública, respondendo a União pelos danos e custos decorrentes. § 2º O tempo de duração do estado de defesa não será superior a trinta dias, podendo ser prorrogado uma vez, por igual período, se persistirem as razões que justificaram a sua decre- tação. § 3º Na vigência do estado de defesa l- a prisão por crime contra o Estado, determinada pelo executor da medida, será por este comunicada imediatamente ao juiz competente, que a relaxará, se não for legal, facultado ao preso requerer exame de corpo de delito à autoridade policial, Il - a comunicação será acompanhada de declaração, pela autoridade, do estado físico e mental do detido no momento de sua autuação, Ill - a prisão ou detenção de qualquer pessoa não poderá ser superior a dez dias, salvo quando autorizada pelo Poder Judiciário, IV - é vedada a incomunicabilidade do preso. § 4º Decretado o estado de defesa ou sua prorrogação, o Presidente da República, dentro de vinte e quatro horas, submeterá o ato com a respectiva justificação ao Congresso Nacional, que decidirá por maioria absoluta. § 5º Se o Congresso Nacional estiver em recesso, será convocado, extraordinariamente, no prazo de cinco dias. § 6º O Congresso Nacional apreciará o decreto dentro de dez dias contados de seu recebi- mento, devendo continuar funcionando enquanto vigorar o estado de defesa. § 7º Rejeitado o decreto, cessa imediatamente o estado de defesa. Seção II - Do Estado de Sítio
137;Art. 137 . O Presidente da República pode, ouvidos o Conselho da República e o Conselho de Defesa Nacional, solicitar ao Congresso Nacional autorização para decretar o estado de sítio nos casos de ART. 138 - comoção grave de repercussão nacional ou ocorrência de fatos que comprovem a inefi- cácia de medida tomada durante o estado de defesa, II - declaração de estado de guerra ou resposta a agressão armada estrangeira. Parágrafo único. O Presidente da República, ao solicitar autorização para decretar o estado de sítio ou sua prorrogação, relatará os motivos determinantes do pedido, devendo o Congresso Nacional decidir por maioria absoluta.
138;Art. 138 . O decreto do estado de sítio indicará sua duração, as normas necessárias a sua execução e as garantias constitucionais que ficarão suspensas, e, depois de publicado, o Presidente da República designará o executor das medidas específicas e as áreas abrangidas. 8 1º O estado de sítio, no caso do art. 137,1, não poderá ser decretado por mais de trinta dias, nem prorrogado, de cada vez, por prazo superior, no do inciso Il, poderá ser decretado por todo o tempo que perdurar a guerra ou a agressão armada estrangeira. § 2º Solicitada autorização para decretar o estado de sítio durante o recesso parlamentar, o Presidente do Senado Federal, de imediato, convocará extraordinariamente o Congresso Nacional para se reunir dentro de cinco dias, a fim de apreciar o ato. 8 3º O Congresso Nacional permanecerá em funcionamento até o término das medidas coercitivas.
139;Art. 139 . Na vigência do estado de sítio decretado com fundamento no art. 137, , só poderão ser tomadas contra as pessoas as seguintes medidas l- obrigação de permanência em localidade determinada, Il - detenção em edifício não destinado a acusados ou condenados por crimes comuns, Ill - restrições relativas à inviolabilidade da correspondência, ao sigilo das comunicações, à prestação de informações e à liberdade de imprensa, radiodifusão e televisão, na forma da lei, IV - suspensão da liberdade de reunião, V - busca e apreensão em domicílio, VI — intervenção nas empresas de serviços públicos, VII - requisição de bens. Parágrafo único. Não se inclui nas restrições do inciso Ill a difusão de pronunciamentos de parlamentares efetuados em suas Casas Legislativas, desde que liberada pela respectiva Mesa. Seção III - Disposições Gerais
140;Art. 140 . A Mesa do Congresso Nacional, ouvidos os líderes partidários, designará Comissão composta de cinco de seus membros para acompanhar e fiscalizar a execução das medidas referentes ao estado de defesa e ao estado de sítio.
141;Art. 141 . Cessado o estado de defesa ou o estado de sítio, cessarão também seus efeitos, sem prejuízo da responsabilidade pelos ilícitos cometidos por seus executores ou agentes. Parágrafo único. Logo que cesse o estado de defesa ou o estado de sítio, as medidas aplica- das em sua vigência serão relatadas pelo Presidente da República, em mensagem ao Congresso Nacional, com especificação e justificação das providências adotadas, com relação nominal dos atingidos e indicação das restrições aplicadas. CAPÍTULO II - DAS FORÇAS ARMADAS
142;Art. 142 . As Forças Armadas, constituídas pela Marinha, pelo Exército e pela Aeronáutica, são instituições nacionais permanentes e regulares, organizadas com base na hierarquia e na disci- plina, sob a autoridade suprema do Presidente da República, e destinam-se à defesa da Pátria, à garantia dos poderes constitucionais e, por iniciativa de qualquer destes, da lei e da ordem. § 1º Lei complementar estabelecerá as normas gerais a serem adotadas na organização, no preparo e no emprego das Forças Armadas. 79 80 CONSTITUIÇÃO DA REPÚBLICA FEDERATIVA DO BRASIL § 2º Não caberá habeas corpus em relação a punições disciplinares militares. § 3º Os membros das Forças Armadas são denominados militares, aplicando-se-lhes, além das que vierem a ser fixadas em lei, as seguintes disposições (Parágrafo acrescido pela EC nº 18, de 1998) - as patentes, com prerrogativas, direitos e deveres a elas inerentes, são conferidas pelo Presidente da República e asseguradas em plenitude aos oficiais da ativa, da reserva ou reformados, sendo-lhes privativos os títulos e postos militares e, juntamente com os demais membros, o uso dos uniformes das Forças Armadas, (Inciso acrescido pela EC nº 18, de 1998) Il- o militar em atividade que tomar posse em cargo ou emprego público civil permanente, ressalvada a hipótese prevista no art. 37, inciso XVI, alínea c, será transferido para a reserva, nos termos da lei, (Inciso acrescido pela EC nº 18, de 1998, e com redação dada pela EC nº 77, de 2014) Ill - o militar da ativa que, de acordo com a lei, tomar posse em cargo, emprego ou função pública civiltemporária, não eletiva, ainda que da administração indireta, ressalvada a hipótese prevista no art. 37, inciso XVI, alínea c, ficará agregado ao respectivo quadro e somente poderá, enquanto permanecer nessa situação, ser promovido por antiguidade, contando-se-lhe o tempo de serviço apenas para aquela promoção e transferência para a reserva, sendo depois de dois anos de afastamento, contínuos ou não, transferido para a reserva, nos termos da lei, (Inciso acrescido pela EC nº 18, de 1998, e com redação dada pela EC nº 77, de 2014) IV - ao militar são proibidas a sindicalização e a greve, (Inciso acrescido pela EC nº 18, de 1998) V - o militar, enquanto em serviço ativo, não pode estar filiado a partidos políticos, (Inciso acrescido pela EC nº 18, de 1998) VI - o oficial só perderá o posto e a patente se for julgado indigno do oficialato ou com ele incompatível, por decisão de tribunal militar de caráter permanente, em tempo de paz, ou de tribunal especial, em tempo de guerra, (Inciso acrescido pela EC nº 18, de 1998) VII - o oficial condenado na justiça comum ou militar a pena privativa de liberdade superior a dois anos, por sentença transitada em julgado, será submetido ao julgamento previsto no inciso anterior, (Inciso acrescido pela EC nº 18, de 1998) VIII — aplica-se aos militares o disposto no art. 7º, incisos VIII, XII, XVII, XVIII, XIX e XXV, e no art. 37, incisos XI, XIII, XIV e XV, bem como, na forma da lei e com prevalência da atividade militar, no art. 37, inciso XVI, alínea c, (Inciso acrescido pela EC nº 18, de 1998, e com redação dada pela EC nº 77, de 2014) IX — (Revogado pela EC nº 41, de 2003) X - a lei disporá sobre o ingresso nas Forças Armadas, os limites de idade, a estabilidade e outras condições de transferência do militar para a inatividade, os direitos, os deveres, a remuneração, as prerrogativas e outras situações especiais dos militares, consideradas as peculiaridades de suas atividades, inclusive aquelas cumpridas por força de compromissos internacionais e de guerra. (Inciso acrescido pela EC nº 18, de 1998)
143;Art. 143 . O serviço militar é obrigatório nos termos da lei. § 1º Às Forças Armadas compete, na forma da lei, atribuir serviço alternativo aos que, em tempo de paz, após alistados, alegarem imperativo de consciência, entendendo-se como tal o decorrente de crença religiosa e de convicção filosófica ou política, para se eximirem de ativi- dades de caráter essencialmente militar. S 2º As mulheres e os eclesiásticos ficam isentos do serviço militar obrigatório em tempo de paz, sujeitos, porém, a outros encargos que a lei lhes atribuir. CAPÍTULO Ill - DA SEGURANÇA PÚBLICA
144;Art. 144 . A segurança pública, dever do Estado, direito e responsabilidade de todos, é exercida para a preservação da ordem pública e da incolumidade das pessoas e do patrimônio, através dos seguintes órgãos ART. 144 l- polícia federal, Il - polícia rodoviária federal, Ill - polícia ferroviária federal, IV - polícias civis, V- polícias militares e corpos de bombeiros militares, VI - polícias penais federal, estaduais e distrital. (Inciso acrescido pela EC nº 104, de 2019) 8 1º A polícia federal, instituída por lei como órgão permanente, organizado e mantido pela União e estruturado em carreira, destina-se a (Caput do parágrafo com redação dada pela EC nº 19, de 1998) - apurar infrações penais contra a ordem política e social ou em detrimento de bens, ser- viços e interesses da União ou de suas entidades autárquicas e empresas públicas, assim como outras infrações cuja prática tenha repercussão interestadual ou internacional exija repressão uniforme, segundo se dispuser em lei, Il - prevenir e reprimir o tráfico ilícito de entorpecentes e drogas afins, o contrabando e o descaminho, sem prejuízo da ação fazendária e de outros órgãos públicos nas respectivas áreas de competência, Ill - exercer as funções de polícia marítima, aeroportuária e de fronteiras, (Inciso com redação dada pela EC nº 19, de 1998) IV - exercer, com exclusividade, as funções de polícia judiciária da União. 8 2º A polícia rodoviária federal, órgão permanente, organizado e mantido pela União e estruturado em carreira, destina-se, na forma da lei, ao patrulhamento ostensivo das rodovias federais. (Parágrafo com redação dada pela EC nº 19, de 1998) 83º A polícia ferroviária federal, órgão permanente, organizado e mantido pela União e estruturado em carreira, destina-se, na forma da lei, ao patrulhamento ostensivo das ferrovias federais. (Parágrafo com redação dada pela EC nº 19, de 1998) § 4º Às polícias civis, dirigidas por delegados de polícia de carreira, incumbem, ressalvada a competência da União, as funções de polícia judiciária e a apuração de infrações penais, exceto as militares. § 5º Às polícias militares cabem a polícia ostensiva e a preservação da ordem pública, aos corpos de bombeiros militares, além das atribuições definidas em lei, incumbe a execução de atividades de defesa civil. § 5º-A. Às polícias penais, vinculadas ao órgão administrador do sistema penal da unidade federativa a que pertencem, cabe a segurança dos estabelecimentos penais. (Parágrafo acrescido pela EC nº 104, de 2019) 8 6º As polícias militares e os corpos de bombeiros militares, forças auxiliares e reserva do Exército subordinam-se, juntamente com as polícias civis e as polícias penais estaduais e distrital, aos Governadores dos Estados, do Distrito Federale dos Territórios. (Parágrafo com redação dada pela EC nº 104, de 2019) § 7º A lei disciplinará a organização e o funcionamento dos órgãos responsáveis pela segu- rança pública, de maneira a garantir a eficiência de suas atividades. 8 8º Os Municípios poderão constituir guardas municipais destinadas à proteção de seus bens, serviços e instalações, conforme dispuser a lei. 8 9º A remuneração dos servidores policiais integrantes dos órgãos relacionados neste artigo será fixada na forma do 8 4º do art. 39. (Parágrafo acrescido pela EC nº 19, de 1998) 8 10. A segurança viária, exercida para a preservação da ordem pública e da incolumidade das pessoas e do seu patrimônio nas vias públicas I- compreende a educação, engenharia e fiscalização de trânsito, além de outras atividades previstas em lei, que assegurem ao cidadão o direito à mobilidade urbana eficiente, e 81 82 ) CONSTITUIÇÃO DA REPUBLICA FEDERATIVA DO BRASIL U Il - compete, no âmbito dos Estados, do Distrito Federal e dos Municípios, aos respectivos órgãos ou entidades executivos e seus agentes de trânsito, estruturados em Carreira, na forma da lei. (Parágrafo acrescido pela EC nº 82, de 2014) TÍTULO VI - DA TRIBUTAÇÃO E DO ORÇAMENTO CAPÍTULO - DO SISTEMA TRIBUTÁRIO NACIONAL Seção - Dos Princípios Gerais
145;Art. 145 . A União, os Estados, o Distrito Federal e os Municípios poderão instituir os seguintes tributos I- impostos, Il - taxas, em razão do exercício do poder de polícia ou pela utilização, efetiva ou potencial, de serviços públicos específicos e divisíveis, prestados ao contribuinte ou postos a sua dispo- sição, Ill - contribuição de melhoria, decorrente de obras públicas. 8 1º Sempre que possível, os impostos terão caráter pessoal e serão graduados segundo a capacidade econômica do contribuinte, facultado à administração tributária, especialmente para conferir efetividade a esses objetivos, identificar, respeitados os direitos individuais e nos termos da lei, o patrimônio, os rendimentos e as atividades econômicas do contribuinte. § 2º As taxas não poderão ter base de cálculo própria de impostos.
146;Art. 146 . Cabe à lei complementar - dispor sobre conflitos de competência, em matéria tributária, entre a União, os Estados, o Distrito Federal e os Municípios, Il - regular as limitações constitucionais ao poder de tributar, Ill - estabelecer normas gerais em matéria de legislação tributária, especialmente sobre a) definição de tributos e de suas espécies, bem como, em relação aos impostos discrimi- nados nesta Constituição, a dos respectivos fatos geradores, bases de cálculo e contribuintes, b) obrigação, lançamento, crédito, prescrição e decadência tributários, c) adequado tratamento tributário ao ato cooperativo praticado pelas sociedades coope- rativas, d) definição de tratamento diferenciado e favorecido para as microempresas e para as empresas de pequeno porte, inclusive regimes especiais ou simplificados no caso do imposto previsto no art. 155, Il, das contribuições previstas no art. 195, I e 88 12 e 13, e da contribuição a que se refere o art. 239. (Alínea acrescida pela EC nº 42, de 2003) Parágrafo único. A lei complementar de que trata o inciso Ill, d, também poderá instituir um regime único de arrecadação dos impostos e contribuições da União, dos Estados, do Distrito Federal e dos Municípios, observado que l- será opcional para o contribuinte, Il - poderão ser estabelecidas condições de enquadramento diferenciadas por Estado, Ill - o recolhimento será unificado e centralizado e a distribuição da parcela de recursos pertencentes aos respectivos entes federados será imediata, vedada qualquer retenção ou condicionamento, IV - a arrecadação, a fiscalização e a cobrança poderão ser compartilhadas pelos entes federados, adotado cadastro nacional único de contribuintes. (Parágrafo único acrescido pela EC nº 42, de 2003)
146-A;Art. 146 -A. Lei complementar poderá estabelecer critérios especiais de tributação, com o objetivo de prevenir desequilíbrios da concorrência, sem prejuízo da competência de a União, por lei, estabelecer normas de igual objetivo. (Artigo acrescido pela EC nº 42, de 2003) ART. 147
147;Art. 147 . Competem à União, em Território Federal, os impostos estaduais e, se o Território não for dividido em Municípios, cumulativamente, os impostos municipais, ao Distrito Federal cabem os impostos municipais.
148;Art. 148 . A União, mediante lei complementar, poderá instituir empréstimos compulsórios - para atender a despesas extraordinárias, decorrentes de calamidade pública, de guerra externa ou sua iminência, Il - no caso de investimento público de caráter urgente e de relevante interesse nacional, observado o disposto no art. 150, III, b. Parágrafo único. A aplicação dos recursos provenientes de empréstimo compulsório será vinculada à despesa que fundamentou sua instituição.
149;Art. 149 . Compete exclusivamente à União instituir contribuições sociais, de intervenção no domínio econômico e de interesse das categorias profissionais ou econômicas, como instru- mento de sua atuação nas respectivas áreas, observado o disposto nos arts. 146, Il, e 150, I e Ill, e sem prejuízo do previsto no art. 195, § 6º, relativamente às contribuições a que alude o dispositivo. 81º A União, os Estados, o Distrito Federal e os Municípios instituirão, por meio de lei, con- tribuições para custeio de regime próprio de previdência social, cobradas dos servidores ativos, dos aposentados e dos pensionistas, que poderão ter alíquotas progressivas de acordo com o valor da base de contribuição ou dos proventos de aposentadoria e de pensões. (Parágrafo único transformado em 8 1º pela EC nº 33, de 2001, e com redação dada pela EC nº 103, de 2019) (Vide inciso Il do art. 36 da EC nº 103, de 2019) 8 1º-A. Quando houver deficit atuarial, a contribuição ordinária dos aposentados e pensio- nistas poderá incidir sobre o valor dos proventos de aposentadoria e de pensões que supere o salário-mínimo. (Parágrafo acrescido pela EC nº 103, de 2019) (Vide inciso Il do art. 36 da EC nº 103, de 2019) § 1º-B. Demonstrada a insuficiência da medida prevista no 8 1º-A para equacionar o deficit atuarial, é facultada a instituição de contribuição extraordinária, no âmbito da União, dos servi- dores públicos ativos, dos aposentados e dos pensionistas. (Parágrafo acrescido pela EC nº 103, de 2019) (Vide inciso Il do art. 36 da EC nº 103, de 2019) § 1º-C. A contribuição extraordinária de que trata o § 1º-B deverá ser instituída simultanea- mente com outras medidas para equacionamento do deficit e vigorará por período determi- nado, contado da data de sua instituição. (Parágrafo acrescido pela EC nº 103, de 2019) (Vide inciso Il do art. 36 da EC nº 103, de 2019) § 2º As contribuições sociais e de intervenção no domínio econômico de que trata o caput deste artigo (Parágrafo acrescido pela EC nº 33, de 2001) - não incidirão sobre as receitas decorrentes de exportação, (Inciso acrescido pela EC nº 33, de 2001) Il — incidirão também sobre a importação de produtos estrangeiros ou serviços, (Inciso acres- cido pela EC nº 33, de 2001, e com redação dada pela EC nº 42, de 2003) Ill - poderão ter alíquotas a) ad valorem, tendo por base o faturamento, a receita bruta ou o valor da operação e, no caso de importação, o valor aduaneiro, b) específica, tendo por base a unidade de medida adotada. (Inciso acrescido pela EC nº 33, de 2001) § 3º A pessoa natural destinatária das operações de importação poderá ser equiparada a pessoa jurídica, na forma da lei. (Parágrafo acrescido pela EC nº 33, de 2001) 8 4º A lei definirá as hipóteses em que as contribuições incidirão uma única vez. (Parágrafo acrescido pela EC nº 33, de 2001) 83 84 CONSTITUIÇÃO DA REPUBLICA FEDERATIVA DO H
149-A;Art. 149 -A. Os Municípios e o Distrito Federal poderão instituir contribuição, na forma das res- pectivas leis, para o custeio do serviço de iluminação pública, observado o disposto no art. 150, le Il. Parágrafo único. É facultada a cobrança da contribuição a que se refere o caput, na fatura de consumo de energia elétrica. (Artigo acrescido pela EC nº 39, de 2002) Seção Il - Das Limitações do Poder de Tributar
